Rank,Score,Company,Domain,LinkedIn,Amount (USD),Round,Lead Investor,All Investors,Country,Date Announced,Hiring Tier,Tech Roles,ATS Provider,Careers URL,Source URL,Score: Funding Stage,Score: Funding Amount,Score: Investor Quality,Score: Hiring Activity,Score: Tech Roles
Very High,100,Neros,https://neros.tech,,75000000,Series B,Sequoia Capital,Sequoia Capital; Vy Capital US; Interlagos,USA,2025-11-11,A,23,Greenhouse,https://job-boards.greenhouse.io/nerostechnologies,https://www.finsmes.com/2025/11/neros-raises-75m-in-series-b-funding.html,30,25,20,15,10
Very High,91,CoLab,https://colabsoftware.com,,72000000,Series C,Intrepid Growth Partners,Intrepid Growth Partners; Insight Partners; Y Combinator; Pelorus VC; Killick Capital; Spider Capital,Canada,2025-11-11,B,8,Internal,https://colabsoftware.com/careers,https://www.finsmes.com/2025/11/colab-raises-72m-usd-in-series-c-funding.html,30,25,20,9,7
Very High,83,Tailor,https://tailor.tech,,37000000,Series A,,i-nest capital; ALPHA; Fukoku CVC Fund; JPS Growth Investment Limited Partnership (Japan Post Investment Corporation); Sumitomo Mitsui Trust Bank; Global Brain; Globis Capital Partners; New Enterprise Associates (NEA); Y Combinator; Japanese private and government-backed funds,USA,2025-11-21,B,5,Internal,https://www.ycombinator.com/companies/tailor/jobs,https://www.finsmes.com/2025/11/tailor-closes-series-a-funding.html,30,17,20,9,7
Very High,75,Majestic Labs,https://majestic-labs.ai,,100000000,Series A,Bow Wave Capital,Bow Wave Capital; Lux Capital; SBI; Upfront; Grove Ventures; Hetz Ventures; QP Ventures; Aidenlair Global; TAL Ventures,Israel,2025-11-11,C,0,,,https://www.finsmes.com/2025/11/majestic-labs-raises-100m-in-funding.html,30,25,20,0,0
Very High,75,Gamma,https://gamma.app,,68000000,Series B,Andreessen Horowitz,Andreessen Horowitz; Accel; Uncork Capital,United States,2025-11-11,C,0,,,https://www.finsmes.com/2025/11/gamma-raises-68m-in-series-b-funding-at-2-1-billion-valuation.html,30,25,20,0,0
High,69,Twenty,https://twenty.io,,0,Series A,Caffeinated Capital,Caffeinated Capital; General Catalyst; In-Q-Tel,USA,2025-11-21,B,13,Internal,https://twenty.io/careers/,https://www.finsmes.com/2025/11/twenty-closes-series-a-funding.html,30,0,20,9,10
High,67,AirOps,https://airops.com,,40000000,Series B,Greylock,Greylock; Unusual Ventures; Wing Venture Capital; XFund; Village Global VC; Frontline VC,USA,2025-11-11,C,0,Ashby,https://jobs.ashbyhq.com/airops,https://www.finsmes.com/2025/11/airops-raises-40m-in-series-b-funding.html,30,17,20,0,0
High,67,Point One Navigation,https://pointonenav.com,,35000000,Series C,Khosla Ventures,Khosla Ventures; IA Ventures; UP Partners; Alumni Ventures,United States,2025-11-21,C,0,Ashby,https://jobs.ashbyhq.com/point-one-navigation,https://www.finsmes.com/2025/11/point-one-navigation-raises-35m-in-series-c-funding.html,30,17,20,0,0
High,67,Stuut Technologies,https://stout.ai,,29500000,Series A,Andreessen Horowitz,Andreessen Horowitz; Activant Capital; Khosla Ventures; 1984.vc; Page One Ventures; Vesey Ventures; Carya Venture Partners; Valley Ventures,USA,2025-11-20,C,0,,,https://www.finsmes.com/2025/11/stuut-technologies-raises-29-5m-in-series-a-funding.html,30,17,20,0,0
High,59,Wispr,https://wisprflow.ai,,25000000,Series A extension,Notable Capital,Notable Capital; Flight Fund,USA,2025-11-20,B,2,Internal,https://wisprflow.ai/careers,https://www.finsmes.com/2025/11/wispr-raises-25m-in-series-a-extension.html,30,17,0,9,3
High,55,Genspark,https://genspark.ai,,275000000,Series B,Lanchi Ventures,Lanchi Ventures; Emergence Capital Partners; SBI Investment; LG Technology Ventures; Pavilion Capital; Uphonest Capital,USA,2025-11-21,C,0,,,https://www.finsmes.com/2025/11/genspark-raises-275m-series-b-at-1-25-billion-valuation.html,30,25,0,0,0
Medium,41,Norm Ai,https://norm.ai,,50000000,,Blackstone,Blackstone; Blackstone Innovations Investments; funds affiliated with Blackstone Growth,USA,2025-11-20,B,5,Internal,https://norm.ai/careers/,https://www.finsmes.com/2025/11/norm-ai-raises-50m-in-funding.html,0,25,0,9,7
Medium,40,Redrob,https://redrob.io,,10000000,Series A,Korea Investment Partners,Korea Investment Partners; KB Investment; Kiwoom Investment; Korea Development Bank Capital; Daekyo Investment; DS & Partners,USA,2025-11-21,C,0,,,https://www.finsmes.com/2025/11/redrob-raises-10m-in-series-a-funding.html,30,10,0,0,0
